task_id,template,model_without_references,model_with_references,anchor_genre,platform_family,source_game_name,delta_model_vs_template,delta_model_refs_vs_template,delta_refs_vs_no_refs,reference_effect_group
TASK_4187,70.0,83.33,83.33,Strategy,PlayStation,Super Bubble Pop,13.329999999999998,13.329999999999998,0.0,Игровые аналоги не дали выраженного изменения
TASK_45376,90.0,83.33,86.67,Strategy,PlayStation,Super Robot Wars F Final,-6.670000000000002,-3.3299999999999983,3.3400000000000034,Игровые аналоги заметно улучшили результат
TASK_4884,83.33,86.67,86.67,Shooter,Nintendo,Geometry Wars: Galaxies,3.3400000000000034,3.3400000000000034,0.0,Игровые аналоги не дали выраженного изменения
TASK_58531,83.33,86.67,93.33,Puzzle,PlayStation,Value 1500: O-chan no Oekaki Logic 3,3.3400000000000034,10.0,6.659999999999997,Игровые аналоги заметно улучшили результат
TASK_62332,90.0,86.67,86.67,Puzzle,PC,Dinothawr,-3.3299999999999983,-3.3299999999999983,0.0,Игровые аналоги не дали выраженного изменения
TASK_65493,80.0,83.33,83.33,Strategy,Nintendo,Amazing Breaker,3.3299999999999983,3.3299999999999983,0.0,Игровые аналоги не дали выраженного изменения
TASK_7095,76.67,86.67,86.67,Role-playing (RPG),Xbox,N3II: Ninety-Nine Nights,10.0,10.0,0.0,Игровые аналоги не дали выраженного изменения
TASK_7643,80.0,86.67,86.67,Shooter,Xbox,Shadowrun,6.670000000000002,6.670000000000002,0.0,Игровые аналоги не дали выраженного изменения
TASK_81643,76.67,86.67,83.33,Role-playing (RPG),PC,Loa: Me and Angel,10.0,6.659999999999997,-3.3400000000000034,Игровые аналоги заметно ухудшили результат
TASK_86448,76.67,83.33,83.33,Simulator,Xbox,Razerwire:Nanowars,6.659999999999997,6.659999999999997,0.0,Игровые аналоги не дали выраженного изменения
